recno,Name,Nv,Ni,Prof,Ell1,e_Ell1,PA1,e_PA1,Ell2,e_Ell2,PA2,e_PA2,Bmag,Vmag,Imag,Rgc,E(B-V),[Fe/H],e_[Fe/H],Age,e_Age,Simbad,_RA,_DE
1,U49,67,67,plot,0.27,0.03,43,2,0.23,0.02,40,3,17.08,16.3,15.31,2.07,0.05,-1.75,0.04,3.98,0.32,Simbad,23.43792,30.79631
2,R12,67,67,plot,0.08,0.01,-20,9,0.17,0.02,10,12,17.42,16.38,15.19,1.01,0.04,-1.46,0.04,10.0,0.41,Simbad,23.5335,30.64394
3,R14,67,67,plot,0.1,0.02,-30,16,0.11,0.01,-13,2,17.46,16.47,15.15,0.62,0.38,-0.63,0.04,1.29,0.23,Simbad,23.51033,30.67797
4,M9,67,67,plot,0.09,0.01,-15,10,0.1,0.01,-8,9,17.88,17.13,16.11,2.19,0.03,-1.17,0.11,4.27,0.37,Simbad,23.62583,30.63694
5,U77,67,67,plot,0.2,0.02,0,17,0.16,0.02,-63,4,18.04,17.29,16.38,1.33,0.06,-0.76,0.05,1.58,0.25,Simbad,23.36967,30.69306
6,H38,67,67,plot,0.17,0.03,26,22,0.22,0.04,25,17,18.13,17.29,16.28,2.74,0.03,-0.84,0.04,5.01,0.16,Simbad,23.4675,30.48439
7,C20,67,67,plot,0.32,0.01,-32,12,0.21,0.05,-56,3,18.43,17.58,16.59,3.77,0.02,-1.3,0.07,8.91,0.25,Simbad,23.68417,30.87192
8,C38,67,67,plot,0.23,0.04,-36,27,0.25,0.03,-25,12,18.74,18.04,17.21,4.32,0.03,-2.12,0.11,1.91,0.05,Simbad,23.37792,30.37261
9,H10,67,67,plot,0.35,0.04,-17,3,0.29,0.02,-27,2,19.45,18.37,17.1,2.59,0.19,-0.74,0.04,7.94,0.32,Simbad,23.39625,30.81667
10,U137,67,67,plot,0.1,0.01,-23,13,0.13,0.01,-20,1,19.13,18.32,17.26,3.16,0.07,-0.2,0.07,18.62,0.12,Simbad,23.30958,30.473
